"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-09","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","187258.0","","","","1"
"2025-10","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","311299.0","","","","1"
"2025-11","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","736077.0","","","","1"
"2025-12","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1070959.0","","","","1"
"2022-01","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","989928.0","","","","1"
"2022-02","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","793573.0","","","","1"
"2022-03","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","558715.0","","","","1"
"2022-04","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","340250.0","","","","1"
"2022-05","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","239800.0","","","","1"
"2022-06","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","242085.0","","","","1"
"2022-07","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","492301.0","","","","1"
"2022-08","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","445797.0","","","","1"
"2022-09","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","223638.0","","","","1"
"2022-10","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","238870.0","","","","1"
"2022-11","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","472437.0","","","","1"
"2022-12","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","924616.0","","","","1"
"2023-01","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","732579.0","","","","1"
"2023-02","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","631260.0","","","","1"
"2023-03","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","530599.0","","","","1"
"2023-04","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","141140.0","","","","1"
"2023-05","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","89252.0","","","","1"
"2023-06","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","275913.0","","","","1"
"2023-07","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","500013.0","","","","1"
"2023-08","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","259518.0","","","","1"
"2023-09","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","225767.0","","","","1"
"2023-10","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","271596.0","","","","1"
"2023-11","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","566441.0","","","","1"
"2023-12","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","577154.0","","","","1"
"2024-01","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","961492.0","","","","1"
"2024-02","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","718739.0","","","","1"
"2024-03","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","369361.0","","","","1"
"2024-04","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","275941.0","","","","1"
"2024-05","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","251219.0","","","","1"
"2024-06","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","370098.0","","","","1"
"2024-07","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","559628.0","","","","1"
"2024-08","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","450624.0","","","","1"
"2024-09","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","367962.0","","","","1"
"2024-10","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","358738.0","","","","1"
"2024-11","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","568145.0","","","","1"
"2024-12","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","862070.0","","","","1"
"2025-01","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","990977.0","","","","1"
"2025-02","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","847176.0","","","","1"
"2025-03","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","416098.0","","","","1"
"2025-04","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","360426.0","","","","1"
"2025-05","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","196557.0","","","","1"
"2025-06","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","369484.0","","","","1"
"2025-07","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","625823.0","","","","1"
"2025-08","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","394287.0","","","","1"
"2025-09","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","212685.0","","","","1"
"2025-10","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","283766.0","","","","1"
"2025-11","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","657438.0","","","","1"
"2025-12","Ontario","2021A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","932846.0","","","","1"
"2022-01","Ontario","2021A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","5502179.1","","","","1"
"2022-02","Ontario","2021A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","3439592.1","","","","1"
"2022-03","Ontario","2021A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","3123663.9","","","","1"
"2022-04","Ontario","2021A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","3265889.2","","","","1"
"2022-05","Ontario","2021A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","4576974.8","","","","1"
